date,count,uniques,collected_at
2026-01-15,14,11,2026-01-30T00:06:19.135206+00:00
2026-01-16,40,6,2026-01-31T00:05:42.627123+00:00
2026-01-17,6,3,2026-02-01T00:05:53.119358+00:00
2026-01-18,11,3,2026-02-02T00:05:50.635617+00:00
2026-01-19,20,5,2026-02-03T00:07:18.500902+00:00
2026-01-20,70,10,2026-02-04T00:05:33.939008+00:00
2026-01-21,17,8,2026-02-05T00:07:08.329670+00:00
2026-01-22,28,10,2026-02-05T00:07:08.329687+00:00
2026-01-23,67,14,2026-02-05T00:07:08.329695+00:00
2026-01-24,4,3,2026-02-05T00:07:08.329701+00:00
2026-01-25,22,5,2026-02-05T00:07:08.329707+00:00
2026-01-26,18,9,2026-02-05T00:07:08.329713+00:00
2026-01-27,19,5,2026-02-05T00:07:08.329718+00:00
2026-01-28,9,5,2026-02-05T00:07:08.329728+00:00
2026-01-29,126,9,2026-02-05T00:07:08.329733+00:00
2026-01-30,5,4,2026-02-05T00:07:08.329739+00:00
2026-01-31,26,8,2026-02-05T00:07:08.329744+00:00
2026-02-01,15,4,2026-02-05T00:07:08.329750+00:00
2026-02-02,53,11,2026-02-05T00:07:08.329755+00:00
2026-02-03,30,6,2026-02-05T00:07:08.329761+00:00
